country_name;country_iso2;state_id;state_name;state_iso2;city_id;city_name;latitude;longitude
Cyprus;CY;747;Larnaca District (Larnaka);03;22062;Meneou;34.86114;33.59516
Cyprus;CY;747;Larnaca District (Larnaka);03;22064;Mosfilotí;34.95256;33.42511
Cyprus;CY;747;Larnaca District (Larnaka);03;22076;Perivólia;34.83355;33.58196
Cyprus;CY;747;Larnaca District (Larnaka);03;22079;Psevdás;34.94653;33.46277
Cyprus;CY;747;Larnaca District (Larnaka);03;22087;Pérgamos;35.04167;33.70833
Cyprus;CY;747;Larnaca District (Larnaka);03;22089;Pýla;35.01237;33.69188
Cyprus;CY;747;Larnaca District (Larnaka);03;22093;Tersefánou;34.85411;33.54746
Cyprus;CY;747;Larnaca District (Larnaka);03;22094;Troúlloi;35.03203;33.61501
Cyprus;CY;747;Larnaca District (Larnaka);03;22099;Voróklini;34.986;33.65387
Cyprus;CY;747;Larnaca District (Larnaka);03;22100;Xylofágou;34.97743;33.84894
Cyprus;CY;747;Larnaca District (Larnaka);03;22101;Xylotymbou;35.0172;33.74245
Cyprus;CY;748;Limassol District (Leymasun);02;22028;Erími;34.67766;32.91815
Cyprus;CY;748;Limassol District (Leymasun);02;22031;Germasógeia;34.72207;33.08254
Cyprus;CY;748;Limassol District (Leymasun);02;22044;Kyperoúnta;34.93815;32.97551
Cyprus;CY;748;Limassol District (Leymasun);02;22053;Lemesós;34.69218;33.02854
Cyprus;CY;748;Limassol District (Leymasun);02;22055;Limassol;34.68406;33.03794
Cyprus;CY;748;Limassol District (Leymasun);02;22065;Mouttagiáka;34.72022;33.10066
Cyprus;CY;748;Limassol District (Leymasun);02;22073;Parekklisha;34.74583;33.15833
Cyprus;CY;748;Limassol District (Leymasun);02;22074;Peléndri;34.89597;32.96817
Cyprus;CY;748;Limassol District (Leymasun);02;22077;Pissoúri;34.66942;32.70132
Cyprus;CY;748;Limassol District (Leymasun);02;22081;Pyrgos;34.74167;33.18333
Cyprus;CY;748;Limassol District (Leymasun);02;22082;Páchna;34.77874;32.79355
Cyprus;CY;748;Limassol District (Leymasun);02;22084;Páno Polemídia;34.70559;32.99269
Cyprus;CY;748;Limassol District (Leymasun);02;22091;Sotíra;34.71189;32.8634
Cyprus;CY;748;Limassol District (Leymasun);02;22092;Soúni-Zanakiá;34.7357;32.88437
Cyprus;CY;748;Limassol District (Leymasun);02;22103;Ágios Tomás;34.71158;32.73129
Cyprus;CY;748;Limassol District (Leymasun);02;22104;Ágios Týchon;34.72606;33.13872
Cyprus;CY;748;Limassol District (Leymasun);02;22105;Ýpsonas;34.68797;32.96191
Cyprus;CY;749;Famagusta District (Mağusa);04;22011;Acherítou;35.10022;33.86155
Cyprus;CY;749;Famagusta District (Mağusa);04;22014;Ammochostos Municipality;35.11755;33.94335
Cyprus;CY;749;Famagusta District (Mağusa);04;22020;Avgórou;35.03615;33.83918
Cyprus;CY;749;Famagusta District (Mağusa);04;22021;Ayia Napa;34.98213;34.00183
Cyprus;CY;749;Famagusta District (Mağusa);04;22023;Derýneia;35.06484;33.96083
Cyprus;CY;749;Famagusta District (Mağusa);04;22029;Famagusta;35.12054;33.93894
Cyprus;CY;749;Famagusta District (Mağusa);04;22030;Frénaros;35.04121;33.92242
Cyprus;CY;749;Famagusta District (Mağusa);04;22052;Lefkónoiko;35.2598;33.73189
Cyprus;CY;749;Famagusta District (Mağusa);04;22054;Leonárisso;35.46892;34.13886
Cyprus;CY;749;Famagusta District (Mağusa);04;22056;Liopétri;35.00885;33.89256
Cyprus;CY;749;Famagusta District (Mağusa);04;22072;Paralímni;35.03945;33.98181
Cyprus;CY;749;Famagusta District (Mağusa);04;22078;Protaras;35.0125;34.05833
Cyprus;CY;749;Famagusta District (Mağusa);04;22090;Rizokárpaso;35.59719;34.37916
Cyprus;CY;749;Famagusta District (Mağusa);04;22095;Tríkomo;35.28628;33.89167
